Product,Connectivity,Advanced,Satisfies Need,Well-Priced,Well-Marketed,Usability,Convenient,Design,Necessity,Superiority,Personalization
Playstation,1,1,1,1,1,1,0,0,0,1,0
iPad,1,0,0,0,1,1,1,1,0,0,0
Bluetooth,1,1,1,0,0,0,0,0,1,1,0
iPod,1,0,1,0,1,1,1,0,0,1,0
Artificial Heart,0,1,1,0,0,0,0,0,1,1,0
Google Chrome,0,0,0,0,1,1,1,1,0,1,1
Skype,1,1,1,0,1,1,1,0,0,1,1
Facebook,1,1,1,0,0,1,1,1,0,1,1
Youtube,1,1,1,0,0,1,1,1,0,1,0
Nintendo Wii,1,0,1,1,1,1,1,0,0,0,1
iPhone,1,1,1,0,1,1,1,1,0,1,0
Netflix,0,0,1,1,1,1,1,0,0,1,0
Kindle,0,1,1,1,1,1,1,1,0,1,0
Google Android,0,1,0,0,0,0,0,1,0,1,1
Spotify,1,0,1,1,1,1,1,0,0,0,0
4G,0,1,1,0,0,0,0,1,1,1,0
Electric Cars,0,1,1,0,1,0,0,1,1,0,0
Driverless Cars,0,1,0,0,0,1,1,0,0,1,0
